iter	Passed	Remaining
0	2	230
1	3	192
2	5	191
3	7	190
4	9	182
5	11	173
6	12	164
7	14	164
8	16	164
9	18	166
10	20	165
11	22	164
12	24	164
13	26	163
14	28	162
15	30	162
16	32	158
17	33	154
18	35	152
19	37	151
20	39	149
21	42	149
22	43	147
23	46	146
24	47	141
25	48	138
26	50	135
27	52	134
28	54	133
29	56	131
30	58	130
31	60	129
32	62	126
33	64	124
34	66	122
35	68	121
36	70	119
37	72	118
38	74	116
39	76	114
40	78	112
41	79	110
42	81	108
43	83	106
44	85	104
45	87	102
46	89	101
47	91	98
48	92	96
49	94	94
50	96	92
51	98	90
52	100	89
53	102	87
54	104	85
55	106	83
56	108	81
57	110	79
58	112	78
59	114	76
60	116	74
61	118	72
62	120	70
63	121	68
64	122	65
65	124	64
66	126	62
67	128	60
68	130	58
69	132	56
70	134	55
71	135	52
72	137	50
73	139	48
74	141	47
75	143	45
76	146	43
77	148	41
78	149	39
79	150	37
80	152	35
81	153	33
82	155	31
83	157	30
84	160	28
85	162	26
86	164	24
87	166	22
88	168	20
89	170	18
90	172	17
91	175	15
92	177	13
93	179	11
94	181	9
95	182	7
96	183	5
97	185	3
98	187	1
99	189	0
